QYEAR,GICS_SECTOR_NAME,TICKER,Q_Open_Price,PX_LAST,RETURN,PE_RATIO,PX_TO_BOOK_RATIO,TRAIL_12M_EPS,TOT_DEBT_TO_TOT_EQY,PRICE_TO_FCF,RETURN_COM_EQY,RETURN_ON_ASSET,CUR_MKT_CAP,ADJUSTED_BETA,,,,
2007Q4,Health Care,A US Equity,26.4368,26.2723,,16.6923,3.047,1.5739,67.0028,13.971,17.8038,8.2992," 13,593.80 ",1.695,,,,
2008Q1,Health Care,A US Equity,26.2222,21.331,-0.188080221,12.8198,2.4332,1.6639,75.2218,10.5229,19.6096,8.7986," 10,889.21 ",1.559,,,,
2008Q2,Health Care,A US Equity,21.3882,25.4142,0.191420937,14.4899,2.8486,1.7539,72.6845,12.5249,19.8362,8.8157," 12,798.24 ",1.212,,,,
2008Q3,Health Care,A US Equity,25.0566,21.2095,-0.165446876,10.9894,2.9009,1.93,83.0403,12.7678,23.9254,9.2455," 10,604.68 ",1.461,,,,
2008Q4,Health Care,A US Equity,20.8662,11.1768,-0.473028596,6.4124,1.4998,1.743,85.7254,6.5994,22.1797,8.7135," 5,501.46 ",1.781,,,,
2009Q1,Health Care,A US Equity,11.1554,10.9909,-0.016632668,8.1677,1.5584,1.3457,89.0451,9.1619,13.0224,5.0947," 5,306.59 ",1.760,,,,
2009Q2,Health Care,A US Equity,10.8121,14.5234,0.321402251,16.9936,2.0131,0.8546,86.5006,16.6476,6.1685,2.4798," 6,973.52 ",1.710,,,,
2009Q3,Health Care,A US Equity,14.5663,19.9009,0.370264539,40.1997,2.7477,0.4951,115.5529,24.9597,-1.2241,-0.412," 9,604.47 ",1.685,,,,
2009Q4,Health Care,A US Equity,19.0428,22.2177,0.116416845,34.964,2.9852,0.6354,112.0477,25.8309,-0.62,-0.2172," 10,838.19 ",1.653,,,,
2010Q1,Health Care,A US Equity,22.4466,24.5918,0.106856245,25.0961,3.2614,0.9799,109.9544,21.9365,7.6542,2.6912," 11,972.73 ",1.604,,,,
2010Q2,Health Care,A US Equity,24.6991,20.3299,-0.173305736,10.4375,2.5104,1.9478,130.8897,16.2194,15.7626,5.3213," 9,895.43 ",1.626,,,,
2010Q3,Health Care,A US Equity,20.38,23.8624,0.173758848,10.1513,2.5577,2.3507,114.0606,13.9776,21.7649,7.2105," 11,558.38 ",1.570,,,,
2010Q4,Health Care,A US Equity,24.0913,29.626,0.2415348,11.4671,3.0675,2.5836,64.0611,15.3572,24.924,9.4506," 14,401.24 ",1.364,,,,
2011Q1,Health Care,A US Equity,29.719,32.0216,0.080861406,11.2795,2.819,2.8389,54.1277,13.8553,25.2395,10.1121," 15,454.57 ",1.602,,,,
2011Q2,Health Care,A US Equity,32.0931,36.5481,0.141357709,13.8008,3.0253,2.6483,51.619,13.3865,27.3091,10.6985," 17,788.59 ",1.497,,,,
2011Q3,Health Care,A US Equity,36.6339,22.3465,-0.388572867,8.0489,1.8,2.7763,50.6256,7.2374,26.8577,10.7929," 10,850.45 ",1.709,,,,
2011Q4,Health Care,A US Equity,22.0962,24.978,0.117758933,8.4985,1.9333,2.9391,48.4774,7.929,26.8012,12.2382," 12,160.01 ",1.605,,,,
2012Q1,Health Care,A US Equity,25.6287,31.8285,0.27426135,10.4534,2.3457,3.0448,46.0741,10.2149,25.4524,12.2246," 15,472.80 ",1.638,,,,
2012Q2,Health Care,A US Equity,31.8285,28.06,-0.118400176,9.6592,2.0109,2.905,45.434,9.1063,22.4454,10.9887," 13,635.93 ",1.780,,,,
2012Q3,Health Care,A US Equity,28.2674,27.4951,-0.02013186,11.1765,1.8358,2.4601,45.5545,9.2447,24.2993,11.7695," 13,397.64 ",1.777,,,,
2012Q4,Health Care,A US Equity,27.5308,29.2757,0.06476063,12.6985,1.8995,2.3054,44.1226,9.1164,22.3893,11.1584," 14,244.44 ",1.679,,,,
2013Q1,Health Care,A US Equity,30.1552,30.0122,0.025157383,13.7932,1.9518,2.1759,44.3858,9.7808,20.2054,10.13," 14,570.28 ",1.543,,,,
2013Q2,Health Care,A US Equity,29.9121,30.5771,0.018822346,15.0227,2.1143,2.0354,56.3883,10.2008,19.4263,9.3636," 14,729.80 ",1.612,,,,
2013Q3,Health Care,A US Equity,30.7845,36.6482,0.198550549,15.3921,2.3087,2.381,51.0304,12.9893,13.8326,6.8231," 16,953.09 ",1.260,,,,
2013Q4,Health Care,A US Equity,36.2549,40.8958,0.115902009,19.0446,2.509,2.1474,49.4768,14.9646,13.7139,6.9513," 18,976.13 ",0.944,,,,
2014Q1,Health Care,A US Equity,40.8315,39.9877,-0.022205214,22.9077,2.3668,1.7456,47.8415,14.3611,13.0455,6.5979," 18,644.88 ",0.565,,,,
2014Q2,Health Care,A US Equity,40.1879,41.0746,0.027180858,27.4998,2.4264,1.4936,39.2908,18.6807,13.2771,6.6996," 19,142.51 ",0.622,,,,
2014Q3,Health Care,A US Equity,41.2891,40.7456,-0.008009816,38.7684,2.5749,1.051,31.3537,25.8107,9.5211,4.6882," 19,003.56 ",0.904,,,,
2014Q4,Health Care,A US Equity,40.6527,40.94,0.004771067,38.4372,3.2466,1.0651,39.1038,41.9284,7.6852,4.0976," 13,728.07 ",0.916,,,,
2015Q1,Health Care,A US Equity,41.18,41.55,0.014899853,36.2145,3.3276,1.1473,39.7981,64.1567,6.5413,3.4711," 13,952.92 ",1.297,,,,
2015Q2,Health Care,A US Equity,41.46,38.58,-0.071480144,31.1853,3.1218,1.2371,40.3069,37.6946,5.8316,3.2216," 12,854.54 ",1.273,,,,
2015Q3,Health Care,A US Equity,38.89,34.33,-0.110160705,23.5085,2.7352,1.4603,39.6882,27.7801,8.4706,4.384," 11,377.07 ",1.198,,,,
2015Q4,Health Care,A US Equity,34.32,41.81,0.217885232,27.6865,3.3903,1.5101,42.8113,25.9299,11.0843,6.1939," 13,888.07 ",1.587,,,,
2016Q1,Health Care,A US Equity,41.06,39.85,-0.046878737,26.049,3.1118,1.5298,45.3541,21.8135,11.1298,6.152," 13,061.64 ",1.599,,,,
2016Q2,Health Care,A US Equity,39.56,44.36,0.113174404,28.3274,3.3094,1.566,43.4192,21.3079,11.2716,6.353," 14,440.14 ",1.755,,,,
2016Q3,Health Care,A US Equity,44.36,47.09,0.06154193,29.1689,3.5958,1.6144,44.8422,23.4378,10.9394,6.0237," 15,275.28 ",1.745,,,,
2016Q4,Health Care,A US Equity,46.82,45.56,-0.032490975,25.9679,3.4141,1.7545,46.3256,22.2447,12.1554,6.6825," 14,658.83 ",1.788,,,,
2017Q1,Health Care,A US Equity,45.93,52.87,0.160447761,27.3693,3.8818,1.9317,46.6971,26.2729,13.5927,7.4093," 17,040.05 ",1.891,,,,
2017Q2,Health Care,A US Equity,52.9,59.31,0.121808209,31.4215,4.1445,1.8876,45.1312,28.7134,14.099,7.89," 19,058.52 ",1.827,,,,
2017Q3,Health Care,A US Equity,59.59,64.2,0.082448154,32.6843,4.2791,1.9642,41.5926,28.9431,15.076,8.434," 20,661.36 ",2.715,,,,
2017Q4,Health Care,A US Equity,64.29,66.97,0.043146417,31.626,4.783,2.1176,47.3928,27.4788,4.4449,2.3657," 21,632.52 ",1.367,,,,
2007Q4,Industrials,AAL US Equity,,,,,,1.84,419.3451,,,1.7465,,,,,,
2008Q1,Industrials,AAL US Equity,,,,,,0.17,439.2527,,6.0405,0.2796,,,,,,
2008Q2,Industrials,AAL US Equity,,,,,,-2.1,655.9639,,-149.4273,-5.7167,,,,,,
2008Q3,Industrials,AAL US Equity,,,,,,-2.6588,1191.2206,,-208.8536,-6.5076,,,,,,
2008Q4,Industrials,AAL US Equity,,,,,,-3.5688,1191.2206,,-208.8536,-7.8815,,,,,,
